question,answer
What is feature engineering?,Feature engineering is the process of creating meaningful input features for machine learning models.
What is feature selection?,Feature selection involves choosing the most relevant features for model training.
What is training data?,Training data is the dataset used to train a machine learning model.
What is testing data?,Testing data is used to evaluate the performance of a trained model.
What is model accuracy?,Model accuracy measures the percentage of correct predictions made by a model.
What is precision in machine learning?,Precision measures the proportion of positive predictions that are actually correct.
What is recall in machine learning?,Recall measures the proportion of actual positives correctly identified by a model.
What is F1 score?,F1 Score is the harmonic mean of precision and recall.
What is confusion matrix?,A confusion matrix is a table used to evaluate classification model performance.
What is data mining?,Data mining is the process of discovering patterns and insights from large datasets.
What is exploratory data analysis?,Exploratory Data Analysis is the process of summarizing and visualizing datasets.
What is SQL?,SQL stands for Structured Query Language and is used to manage relational databases.
What is a database?,A database is an organized collection of data stored electronically.
What is normalization in databases?,Normalization organizes database tables to reduce redundancy and improve consistency.
What is primary key?,A primary key uniquely identifies each record in a database table.
What is foreign key?,A foreign key establishes a relationship between two database tables.
What is REST API?,A REST API is an interface that follows Representational State Transfer principles for communication.
What is JSON?,JSON is a lightweight data interchange format used for storing and exchanging data.
What is HTML?,HTML is the standard markup language used to structure web pages.
What is CSS?,CSS is used to style and design web pages.
What is JavaScript?,JavaScript is a programming language used to create interactive web applications.
What is frontend development?,Frontend development focuses on building the user interface of web applications.
What is backend development?,Backend development handles server side logic databases and APIs.
What is full stack development?,Full stack development involves working on both frontend and backend systems.
What is cybersecurity?,Cybersecurity is the practice of protecting systems networks and data from cyber threats.
What is encryption?,Encryption converts data into a secure format to prevent unauthorized access.
What is authentication?,Authentication is the process of verifying the identity of a user or system.
What is data structure?,A data structure is a way of organizing and storing data for efficient access and modification.
What is an algorithm?,An algorithm is a step by step procedure used to solve a problem or perform a task.
What is time complexity?,Time complexity measures the amount of time an algorithm takes to run as input size grows.
What is space complexity?,Space complexity measures the amount of memory an algorithm requires.
What is Big O notation?,Big O notation describes the performance and scalability of algorithms.
What is linear search?,Linear search finds an element by checking each item sequentially.
What is binary search?,Binary search efficiently finds an element in a sorted list by repeatedly dividing the search space.
What is sorting?,Sorting is the process of arranging data in a specific order.
What is bubble sort?,Bubble sort repeatedly swaps adjacent elements until the list is sorted.
What is merge sort?,Merge sort is a divide and conquer sorting algorithm with efficient performance.
What is quick sort?,Quick sort is a fast sorting algorithm that partitions data around a pivot.
What is stack?,A stack is a data structure that follows the Last In First Out principle.
What is queue?,A queue is a data structure that follows the First In First Out principle.
What is linked list?,A linked list is a linear data structure where elements are connected using pointers.
What is tree data structure?,A tree is a hierarchical data structure consisting of nodes connected by edges.
What is graph data structure?,A graph is a collection of nodes and edges representing relationships.
What is hash table?,A hash table stores key value pairs using a hash function for fast access.
What is dynamic programming?,Dynamic programming solves complex problems by breaking them into smaller overlapping subproblems.
What is greedy algorithm?,A greedy algorithm makes the locally optimal choice at each step.
What is recursion in programming?,Recursion is a technique where a function calls itself to solve a problem.
What is operating system?,An operating system manages hardware resources and provides services for applications.
What is process?,A process is a program that is currently being executed.
What is thread?,A thread is the smallest unit of execution within a process.
What is multitasking?,Multitasking allows multiple tasks to run concurrently on a computer.
What is memory management?,Memory management controls how memory is allocated and released in a system.
What is compiler?,A compiler translates source code into machine code before execution.
What is interpreter?,An interpreter executes source code line by line.
What is Linux?,Linux is an open source operating system widely used in servers and development environments.
What is shell scripting?,Shell scripting automates tasks using commands executed in a shell environment.
What is command line interface?,A command line interface allows users to interact with a system through text commands.
What is software engineering?,Software engineering is the systematic design development testing and maintenance of software.
What is software development lifecycle?,The software development lifecycle defines the stages involved in building software.
What is Agile methodology?,Agile is a software development approach focused on iterative progress and collaboration.
What is Scrum?,Scrum is an Agile framework for managing and completing complex projects.
What is DevOps?,DevOps combines development and operations practices to improve software delivery.
What is continuous integration?,Continuous integration involves automatically testing and merging code changes.
What is continuous deployment?,Continuous deployment automatically releases software updates to production.
What is unit testing?,Unit testing verifies individual components of software independently.
What is integration testing?,Integration testing validates interactions between multiple software components.
What is debugging in software engineering?,Debugging is the process of identifying and fixing software defects.
What is Docker?,Docker is a platform for packaging applications into portable containers.
What is Kubernetes?,Kubernetes is a platform for automating container deployment scaling and management.
What is cloud storage?,Cloud storage allows data to be stored and accessed over the internet.
What is AWS?,AWS is a cloud computing platform provided by Amazon.
What is Microsoft Azure?,Microsoft Azure is a cloud computing platform provided by Microsoft.
What is Google Cloud Platform?,Google Cloud Platform provides cloud services for computing storage and machine learning.
What is edge computing?,Edge computing processes data closer to its source rather than in centralized data centers.
What is Internet of Things?,The Internet of Things connects physical devices to the internet for data exchange.
What is blockchain?,Blockchain is a decentralized digital ledger used to record transactions securely.
What is cryptocurrency?,Cryptocurrency is a digital currency secured by cryptographic techniques.
What is Docker?,Docker is a containerization platform used to package and deploy applications.
What is Kubernetes?,Kubernetes is an orchestration platform for managing containers.
What is DevOps?,DevOps combines development and operations practices to improve software delivery.
What is CI/CD?,CI/CD automates code integration testing and deployment.
What is Git?,Git is a distributed version control system.
What is GitHub?,GitHub is a cloud platform for hosting Git repositories.
What is REST API?,REST API enables communication between applications using HTTP methods.
What is GraphQL?,GraphQL is a query language for APIs.
What is JSON?,JSON is a lightweight data exchange format.
What is XML?,XML is a markup language used for storing and transporting data.
What is SQL?,SQL is a language used to manage relational databases.
What is MySQL?,MySQL is an open-source relational database management system.
What is PostgreSQL?,PostgreSQL is an advanced open-source relational database.
What is MongoDB?,MongoDB is a NoSQL database that stores data in documents.
What is Database Normalization?,Normalization organizes data to reduce redundancy.
What is a Primary Key?,A primary key uniquely identifies a record in a table.
What is a Foreign Key?,A foreign key links records between tables.
What is Big Data?,Big Data refers to extremely large datasets requiring advanced processing.
What is Data Mining?,Data mining is the process of discovering patterns in data.
What is Data Visualization?,Data visualization represents data graphically.
What is Tableau?,Tableau is a popular data visualization tool.
What is Power BI?,Power BI is Microsoft's business intelligence platform.
What is Feature Engineering?,Feature engineering creates useful features for machine learning models.
What is Cross Validation?,Cross validation evaluates model performance using multiple data splits.
What is Overfitting?,Overfitting occurs when a model learns training data too well.
What is Underfitting?,Underfitting occurs when a model fails to learn important patterns.
What is Gradient Descent?,Gradient descent is an optimization algorithm used in machine learning.
What is Random Forest?,Random Forest is an ensemble learning algorithm using multiple decision trees.
What is XGBoost?,XGBoost is a powerful gradient boosting algorithm.
What is Reinforcement Learning?,Reinforcement learning trains agents using rewards and penalties.
What is Computer Vision?,Computer vision enables machines to understand images and videos.
What is Generative AI?,Generative AI creates new content such as text images and code.
What is ChatGPT?,ChatGPT is an AI chatbot developed by OpenAI.
What is Prompt Engineering?,Prompt engineering is the practice of designing effective AI prompts.
What is BERT?,BERT is a transformer-based NLP model developed by Google.
What is GPT?,GPT is a transformer model used for text generation.
What is Named Entity Recognition?,NER identifies entities such as names locations and organizations in text.
What is Sentiment Analysis?,Sentiment analysis determines emotional tone in text.
What is Machine Translation?,Machine translation automatically translates text between languages.
What is Cyber Security?,Cyber security protects systems networks and data from attacks.
What is Encryption?,Encryption converts data into a secure unreadable format.
What is Malware?,Malware is malicious software designed to harm systems.
What is Phishing?,Phishing is a cyberattack that tricks users into revealing information.
What is Firewall?,A firewall monitors and controls network traffic.
What is Blockchain?,Blockchain is a decentralized ledger technology.
What is Smart Contract?,A smart contract is a self-executing blockchain program.
What is Ethereum?,Ethereum is a blockchain platform supporting smart contracts.
What is Cryptocurrency?,Cryptocurrency is a digital currency secured by cryptography.
What is Bitcoin?,Bitcoin is the first decentralized cryptocurrency.
What is Web3?,Web3 is the decentralized version of the internet powered by blockchain.
